id,source,text,rater1,rater2
1,lucene,That would make ant a requirement for solr user,NL,NL
2,lucene,at org.tmatesoft.svn.core.wc.SVNUpdateClient.update(SVNUpdateClient.java:449),Not,Not
3,lucene,On un-optimized inde,NL,NL
4,lucene,When calling the search URL with no query or an empty query (i.e.  http://localhost:8080/solr/select/ or http://localhost:8080/solr/select/?q=,NL,NL
5,lucene,val = null;,Not,Not
6,lucene,private void refineFacets(ResponseBuilder r,Not,Not
7,lucene,I was thinking of Tomcat at first since some people will start with,NL,NL
8,lucene,cross-referenced with the java.util.concurrent package. Just amazing.,NL,NL
9,lucene,Key: SOLR-1120,Not,NL
10,lucene,<directoryProvider class=\class.name\>,Not,Not
11,lucene,at org.apache.solr.servlet.SolrUpdateServlet.doPost(SolrUpdateServlet.java:58),Not,Not
12,lucene,URL: https://issues.apache.org/jira/browse/SOLR-136,Not,Not
13,lucene,Otis Gospodnetic commented on SOLR-215:,NL,NL
14,lucene,List<String> categories,Not,Not
15,lucene,-rsyncStart=`date`,Not,Not
16,lucene,Per-segment single-valued string faceting using the Lucene FieldCache.,NL,NL
17,lucene,I need your comments on this although it might be hard without TestUnit.,NL,NL
18,lucene,Here is a patch to avoid the exception and use the default sort order if you only specify a field.  I'm not sure the 'null' case was even possible in the current code:,NL,NL
19,lucene,[junit] Running org.apache.solr.client.solrj.embedded.SolrExampleEmbeddedTest,Not,Not
20,lucene,@Hoss,NL,NL
21,lucene,convert them to document,NL,NL
123,lucene,applied with:  /usr/local/bin/patch -u -p 0 < ~/solr-350_409.patch,NL,Not
145,lucene,A import org.apache.solr.common.params.MapSolrParams;,Not,Not
147,lucene,DirectUpdateHandler2 threading issue,Not,Not
25,lucene,yoavs@computer.org / www.yoavshapira.com,Not,Not
26,lucene,$svn/java/trunk/core (i'm pretty sure existing checkouts will,NL,NL
27,lucene,I've had the idea of a \quiet\ commit in the back of my mind for a,NL,NL
28,lucene,solr.war,Not,Not
29,lucene,check,NL,NL
30,lucene,https://issues.apache.org/jira/browse/SOLR-139,Not,Not
31,lucene,svn co https://svn.apache.org/repos/asf/lucene/java/trunk@724059 lucene-r724059,Not,Not
32,lucene,What should be done?,NL,NL
33,lucene,your instincts were appropraite -- blindly adding to svn:ignore is an easy,NL,NL
34,lucene,public void ensureCapacityWords(int numWords) {,Not,Not
35,lucene,After thinking over your comment,NL,NL
36,lucene,// 1/4 second seems fast enough for anyone using maxDocs,NL,NL
158,lucene,+1,NL,Not
38,lucene,[ https://issues.apache.org/jira/browse/SOLR-773?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=12759415#action_12759415 ],Not,Not
218,lucene,tier,NL,NL
40,lucene,983__solr\\webapp\\WEB-INF\\lib\\xpp3-1.1.3.4.O.jar,Not,Not
41,lucene,SolrConfig inherits from Config which has been modified; Config is now more strictly a dom document (filled from some resource) and methods to evaluate xpath expressions. Config also continues to be the classloader singleton that allows to easily instantiate classes located in the Solr installation directory.,NL,NL
42,lucene,file per instance,NL,NL
43,lucene,Upgrade bundled Jetty with latest from vendor,NL,NL
44,lucene,mkdir /tmp/apache-solr-nightly/contrib/javascript/dist/doc,Not,Not
45,lucene,at java.net.PlainSocketImpl.bind(PlainSocketImpl.java:359),Not,Not
46,lucene,Currectl,Not,Not
