ID,Mika,Fabio,Disagreement,Text
1,1,1,FALSE,1.0.6 but preferable the newer Deer Park Alpha builds.
2,1,1,FALSE,I produced something along the lines of a test case for this at
3,1,1,FALSE,"attribute minimization. XML dictates selected=""selected""."
4,2,2,FALSE,User Agent: Mozilla/5.0 (Mobile; rv:33.0) Gecko/33.0 Firefox/33.0
5,2,2,FALSE,"<option value=""manage_addProduct/KnowledgeKit/HOWTO_factory"">HOW-TO</option>"
6,2,2,FALSE,"Error: uncaught exception: [Exception... ""'[JavaScript Error: ""aTabs[ex - 1] is undefined"" {file: ""file:///home/tim/workspace/mozilla-central/objdir-ff-release/dist/bin/components/nsSessionStore.js"" line: 2459}]' when calling method: [nsISessionStore::undoCloseTab]""  nsresult: ""0x80570021 (NS_ERROR_XPC_JAVASCRIPT_ERROR_WITH_DETAILS)""  location: ""JS frame :: chrome://browser/content/browser.js :: undoCloseTab :: line 11989""  data: yes]"
7,1,1,FALSE,and there's no plug-in to handle it the value should fallback to some default
8,1,1,FALSE,bryner:
9,1,1,FALSE,from it out instead
10,2,2,FALSE,"topcrash+, zt4newcrash, dataloss."
11,1,1,FALSE,"I was trying to match the prototype of the existing HTMLCanvasElement::ExtractData method as closely as possible, but I can change this if you'd like. I'd have to change the callers a bit, but this wouldn't be a problem."
12,1,1,FALSE,"Plenty of free memory and swap, no processor problems."
13,1,1,FALSE,"display on top of each other""."
14,1,1,FALSE,"Reporter, do you still see this problem with the latest Firefox 2? If not, can you please close this bug as WORKSFORME. Thanks!"
15,2,2,FALSE,#2  0x4018a1be in PR_WaitCondVar ()
16,1,1,FALSE,Most dictionary consumers expect that extra properties would be ignored as WebIDL currently spec'ed. The semantic of MediaStreamOptions contradicts their expectations.
17,1,1,FALSE,forgot to add mlk to kwords
18,1,1,FALSE,1) Verified in mfcEmbed.  nsIWebBrowserChrome::CreateBrowserWindow() is no
19,1,1,FALSE,"or invalid entity), it is very difficult to track down the problem"
20,2,2,FALSE,"EAX(tm) 2.0 Listen/Src: No, No"
21,1,1,FALSE,"(It has problems with high CPU usage on display of Speedread page, but that's for their developers to tackle)"
22,1,1,FALSE,"Hi Patrick,"
23,1,1,FALSE,Steps to reproduce:
24,2,2,FALSE,-----------------------------------------------------------------
25,1,1,FALSE,The style is correct and I'm not an X-head. Reassigned to pollmann.
26,1,1,FALSE,r+ if event name is changed and unit test for nfcmanager part
27,1,1,FALSE,"with this, allowing the user to select the unit to be prefixed can result in a"
28,2,2,FALSE,nsTableOuterFrame::Reflow()
29,2,2,FALSE,at Server.EventEmitter.emit (events.js:92:17)
30,1,1,FALSE,"Fwiw, I tested dbaron's patch with various themes on Linux and I couldn't"
31,2,2,FALSE,09:47:58     INFO -      rax = 0x0000000000000000   rdx = 0x0000000000000000
32,1,1,FALSE,"^ we could do something stupid here, in which case we'll later violate xpcom"
33,1,1,FALSE,"You'll need to update Thunderbird or file a bug and notify them of the change as well, of course."
34,1,1,FALSE,"Typing in wikipedia, placing the cursor in the main editing textbox causes typing to appear in the edit summary textbox, and vice=versa"
35,2,2,FALSE,Safe Mode: false
36,1,1,FALSE,Is you point your nightly build (my case: 2000100308) to that page there is some
37,2,2,FALSE,Gecko Version          45.0a1
38,2,2,FALSE,"},"
39,1,1,FALSE,"tree at the start of nsCSSFrameConstructor::ContentRemoved(), the child"
40,1,1,FALSE,"Ulrich, if this isn't in your current code, I can probably make a tip build available for you more or less soonish. Let me know."
41,2,2,FALSE,https://hg.mozilla.org/integration/b2g-inbound/rev/cf4a85de7c0e
42,1,1,FALSE,"about, esp. if you are always talking about Compose window or the display of the"
43,2,2,FALSE,"/cvsroot/mozilla/xpcom/base/Makefile.in,v  <--  Makefile.in"
44,1,1,FALSE,"Now, high resolution scrolling was disabled by bug 657865 due to many regressions. This bug tracks the regressions which must be fixed before re-enabling it."
45,2,2,FALSE,45 	libobjc.A.dylib 	libobjc.A.dylib@0x70ae
46,2,2,FALSE,21:38:25     INFO -  4189 INFO TEST-PASS | dom/tests/mochitest/general/test_performance_timeline.html | The number of PerformanceMeasure entries should be 1.
47,1,1,FALSE,"On OS X (10.1.5+), tabbing in forms behaved exactly as expected - and as in IE -"
48,1,1,FALSE,"- After this do-while loop, replace the ""return true"" with:"
49,1,1,FALSE,We already have a newer version in the tree
50,1,1,FALSE,No code change so marking WFM
51,1,1,FALSE,Either that or Chrome maybe had to find some long drawn out work-around...
52,1,1,FALSE,Actual:
53,1,1,FALSE,TODO for me:
54,2,2,FALSE,User-Agent:       Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0 StumbleUpon/1.999
55,1,1,FALSE,"Otherwise jsbugmon will report that this bug is unreproducible, as per comment 4 of this bug, assuming that the bug still exists and reproduces manually."
56,1,1,FALSE,1.Hide the window (apple-h)
57,1,1,FALSE,2. use FireFox regularly
58,1,1,FALSE,2. kill the clock application
59,2,2,FALSE,*
60,1,1,FALSE,Also had X11Amp loaded.
61,1,1,FALSE,"This is already fixed on trunk somehow, at least with current steps to reproduce."
62,1,1,FALSE,"Hey, I'm interested in this bug if no one else is working on it."
63,1,1,FALSE,no splash appears .
64,2,2,FALSE,#14 0x2b0339e2 in nsAppShellService::Run (this=0x8101300)
65,2,2,FALSE,Gaia: ae3a84acaab80a5b35d5542d63e68462273c8a1b
66,1,1,FALSE,2. Middle click in a Firefox browser area
67,2,2,FALSE,"@@ +112,4 @@"
68,2,2,FALSE,+          lastCharArabic = IS_ARABIC_CHAR(ch);
69,2,2,FALSE,"nsBlockFrame::ReflowBlockFrame(nsBlockReflowState & {...}, nsLineBox *"
70,1,1,FALSE,But in Internet Explorer:
71,1,1,FALSE,"2. Use a video sharing site, and go to full screen"
72,1,1,FALSE,Steps to reproduce:
73,1,1,FALSE,Risk to taking this patch (and alternatives if risky): Low
74,1,1,FALSE,No void.
75,1,1,FALSE,"Julien, can you reproduce this problem in Mozilla's Firefox 41? Or does this problem only affect Cyberfox?"
76,2,2,FALSE,---------------------------
77,2,2,FALSE,User Agent: Mozilla/5.0 (Mobile; rv:32.0) Gecko/32.0 Firefox/32.0
78,2,1,TRUE,AAC audio
79,1,1,FALSE,2. Hold yellow OFF key (located next to the SIM card slot) for 5 to 10 seconds until the device buzzes
80,1,1,FALSE,"and hold them out in front of you.  See, now it's fine."""
81,1,1,FALSE,Thanks!!
82,2,2,FALSE,USER32! 77e1395f()
83,1,1,FALSE,the customize page supplied for a sidebar tab.
84,1,1,FALSE,"activity monitor running continuously.  If I reload, it may stop, or it may"
85,1,1,FALSE,"Step 2 above should be ""Change options to set tabs on right side of screen."""
86,1,1,FALSE,Done as requested.  Output of NS_FONT_DEBUG=C ./mozilla http://www.mozilla.org/
87,1,1,FALSE,*** This bug has been marked as a duplicate of 283478 ***
88,1,1,FALSE,"If we wait a second to tap the ok button, it works fine. It needs to tap quickly to reproduce this bug."
89,2,2,FALSE,Direction DominantDirection(gfxPoint aPoint) { ... }
90,1,1,FALSE,[Steps] 1. Run all PTS test cases
91,1,1,FALSE,didn't mark it before (just looked over what I think are the new parts)
92,1,1,FALSE,(This had the wrong bug number in the commit message.)
93,1,1,FALSE,54d57bd38f51	Matthew Noorenberghe � Bug 1007979 - Refactor nsSearchSuggestions into a reusable JSM. r=adw Original JSM by mconnor.
94,2,2,FALSE,[New LWP 2]
95,1,1,FALSE,This is not pleasing for her.
96,1,1,FALSE,"2042   // Now, be sure to keep |this| alive, and the dialog"
97,2,2,FALSE,"@@ +191,5 @@"
98,1,1,FALSE,"I'm here, but I'm afraid I don't have much to report. May be it doesn't happen with the new UI? I've seen the ""couple of minutes before painting even the initial Chrome"" problem a couple of times after that, but there's no consistent way to reproduce that. It just happens randomly, and when I try to do that again, it doesn't. I'm not sure what can be done here to this bug. These days when it becomes slow I just go and delete those Local cache folders."
99,2,2,FALSE,"/build_stage/communications/dialer/index.html: L10nError: Duplicate string ""edit"" found in app://communications.gaiamobile.org"
100,1,1,FALSE,"Your right, the plain html page is rendered correctly."
101,2,2,FALSE,Tools | Message Filters
102,2,2,FALSE,return JS_FALSE;
103,1,1,FALSE,Reproducible: Always
104,1,1,FALSE,"3.1. The notification panel should probably explicitly specify that the label (class: ""popup-notification-description"") is the description for the panel (using aria-describedby?). This isn't essential, as screen readers generally use algorithms to work this out, but it's more correct."
105,1,1,FALSE,A try run with the mochitest
106,1,1,FALSE,"This is the thumbnail optimization I told you about. Previously my metadata code was creating a thumbnail for every song, even when a bunch of songs were part of the same album and shared the same thumbnail."
107,2,2,FALSE,hfdxhfdhdfh
108,2,2,FALSE,User-Agent:       Mozilla/5.0 (X11; Linux x86_64; rv:2.0b6pre) Gecko/20100913 Firefox-4.0/4.0b6pre Ubuntu/10.04
109,1,1,FALSE,Checking in base/content/browser.js;
110,1,1,FALSE,Koala
111,1,1,FALSE,"Or is it only about a small notification, kind of a footnote?"
112,1,1,FALSE,Review of attachment 582733:
113,2,2,FALSE,23:06:06     INFO -  gBrowserInit.onLoad@chrome://browser/content/browser.js:990:5
114,1,1,FALSE,verified fixed using the testcases and Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9pre) Gecko/2008041217 Minefield/3.0pre ID:2008041217 +  Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9pre) Gecko/2008041304 Minefield/3.0pre no crash on testcases.
115,1,1,FALSE,Steps to Reproduce:
116,2,2,FALSE,"document.getElementById(""togglePasswords"").label = kSignonBundle.getString(""showPasswords"");"
117,1,1,FALSE,Updating summary to reflect subject of the bug and changing component. This is probably a dupe of an existing bug.
118,1,1,FALSE,"I found bugs like bug 144432, but they refer to a slightly different problem."
119,1,1,FALSE,1. Just visit sites with lots of GIFs and make sure they're rendering ok.
120,2,2,FALSE,::: accessible/tests/mochitest/states/test_inputs.html
121,1,1,FALSE,"through or by the JS component's code.  We need to report them somewhere, rather"
122,1,1,FALSE,"Setting milestone to M11 and setting it to blocker. Vidur, apologies for setting"
123,1,1,FALSE,"I managed to reproduce this issue on Firefox 44 RC and on Windows 10 x86, using the STR from Comment 15."
124,1,1,FALSE,"Risk to taking this patch (and alternatives if risky): Low. The interface of |libfdio.so| is changed, but currently the only client that uses it is |bluetoothd|."
125,2,2,FALSE,Build: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.4b) Gecko/20030521 Mozilla
126,2,2,FALSE,TestRunner:  Starting test 51:EventTimestamp with timeout 30000
127,1,1,FALSE,"76162 seems to suggest that the list is small, there are only a few sites added"
128,1,1,FALSE,"Thanks Gareth. Some of the abstraction style did feel a bit off for me as well, but I guess I was too happy to enable another test :)"
129,2,2,FALSE,27 	xul.dll 	nsAppShell::Run 	widget/src/windows/nsAppShell.cpp:258
130,1,1,FALSE,"attinasi, is the sr complete? who's to set the target milestone for this?"
131,1,1,FALSE,"Actual results: the words ""Export options"" appear in the lower *left*"
132,2,2,FALSE,02:06:20 INFO - CPU: arm
133,2,2,FALSE,https://reviewboard.mozilla.org/r/14659/#review13243
134,2,2,FALSE,16386[81f9b48]: nsHttpConnection::Init [this=83ea548]
135,2,2,FALSE,TE  --> T/m
136,2,2,FALSE,libmozjs.so + 0x2e99f (0x4004699f)
137,1,1,FALSE,"It does run slower, but not as slow as on Linux. I'm just compiling a debug build on Linux and will try with gDumpRepaintRegionForCopy=1 shortly."
138,2,2,FALSE,nsXULDocument::ContentRemoved
139,1,1,FALSE,1. In nsOfflineCacheUpdate - the #manifest and #dynamic keys were changed to use asciiSpec base
140,2,2,FALSE,!= NULL' failed
141,2,2,FALSE,-pretxnchangegroup.renamecase = python:mozhghooks.prevent_case_only_renames.hook
142,1,1,FALSE,before the User Agent Components are intialized (via InitUserAgentComponents())
143,1,1,FALSE,Two additional comments.
144,2,2,FALSE,e: {
145,1,1,FALSE,1) Start apprunner.exe
146,1,1,FALSE,why remove the assertion?
147,2,2,FALSE,"0x7f12136f3ff8 ""/moz/aboutstartup3/js/src/jscntxtinlines.h"", ln=541)"
148,1,1,FALSE,To repro: View URL.
149,2,2,FALSE,"+    gfxFontGroup *CreateFontGroup(const nsAString &aFamilies,"
150,2,2,FALSE,libIDL-0.8.2-1
151,1,1,FALSE,(uninteresting screenshot)
152,2,2,FALSE,************************************************************
153,1,1,FALSE,5.  See page load.
154,1,1,FALSE,"""I think this is because the tab code in global/bindings/tabbox.xml isn't"
155,2,2,FALSE,22:17:18     INFO -  INFO TEST-END: /home/cltbld/talos-slave/test/build/tests/marionette/tests/dom/icc/tests/marionette/test_stk_proactive_command.js Fri Feb 22 2013 19:14:07 GMT-1100 (SST)
156,1,1,FALSE,*** Bug 114327 has been marked as a duplicate of this bug. ***
157,1,1,FALSE,"Sure thing, Gijs. I'll make those changes now and continue working on the tests after submitting the patch you need for 52."
158,2,2,FALSE,"21:41:16     INFO -  nsDocumentOpenInfo::OnStartRequest(nsIRequest*, nsISupports*) [uriloader/base/nsURILoader.cpp:260]"
159,1,1,FALSE,I agree that this is clearer.
160,1,1,FALSE,This could be bug 223287
161,1,1,FALSE,Actual results:
162,1,1,FALSE,* No tests -yet- until we validate this approach
163,1,1,FALSE,Is there any chance that this can be fixed on the 1.4 branch
164,1,1,FALSE,Over to Rick who's going to make the first cut at this.
165,2,2,FALSE,"0x00000000, const char * 0x0164abb8, const char * 0x02d6c9ac, const char *"
166,1,1,FALSE,"Looks good to me, can you be sure to fix the unit tests before landing? Thanks!"
167,1,1,FALSE,"then move the mouse below the textbox, it selects up to the char parallel"
168,2,2,FALSE,+
169,1,1,FALSE,Other interesting questions:
170,2,2,FALSE,"document.write('<a href=""http://ads.web.aol.com/link/64000755/html?"
171,1,1,FALSE,I'm flagging Wilfred to ensure we can get this into the backlog. This is crazy.
172,1,1,FALSE,Reproducible: Always
173,1,1,FALSE,"bug 221593 has a windows patch, maybe this can be used for os/2 as well"
174,2,2,FALSE,Regression: Mozilla-Inbound-Non-PGO - Talos Page Switch - WINNT 5.1 (ix) - 19.5% increase
175,1,1,FALSE,"Sorry for not replying here anymore, I was busy with exams and doing stuff for my youth movement :)"
176,1,1,FALSE,"This is a mass search of unconfirmed bugs that have no activity on them, so if you feel a bug was marked in error, just remove the CLOSEME comment in the whiteboard within the next month."
177,1,1,FALSE,1. install Firefox 1.0PRE
178,1,1,FALSE,"- it would seem fairly intuitive to click on the icon to perform search with the associated engine. ""Click on the Google icon to search Google"""
179,2,2,FALSE,Verified fixed in Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1a1pre) Gecko/2008062603 Minefield/3.1a1pre
180,1,1,FALSE,Our dialog can explain that [shift]ctrl-tab and [shift]F6 are now being
181,2,2,FALSE,"nsWindow::ProcessMessage(unsigned int,unsigned int &,long &,long *) (in xul.pdb)"
182,1,1,FALSE,problem) so I believe in second order this host lookup problem could come
183,1,1,FALSE,"the official version is the English version.  BTW, that's a paraphrase - the"
184,1,1,FALSE,"I don't think the awesomebar is affected by this either way, since we explicitly decode URIs there."
185,1,1,FALSE,verified in 6/5 build.
186,1,1,FALSE,When i tried to kill the process via command line with taskkill
187,1,1,FALSE,And pressing the Cancel button (which doesn't close the window):
188,1,1,FALSE,- Could use some with how this breaks down into engineering bugs beyond those we already have on file
189,1,1,FALSE,to the beta may allow you to use the web interface.
190,1,1,FALSE,"If we do that, shared-permanent properties with native getter-setter, where we use such to avoid an extra property, can't be used to implement ECMA-specified behavior -- not when there's no way to distinguish native-getter-setter-as-optimization from native-getter-setter-as-dynamic-behavior.  For example, the length property of functions is required to be exposed as a data descriptor.  This patch -- as currently written -- would do that.  I guess it lies for the descriptors that have native getters."
191,1,1,FALSE,Since that event doesn't do batching we should probably implement batching with a WeakMap (e.g. using the document as the key) so we don't show the same error more than once per document.
