id,source,text,rater1,rater2
1,mozilla,1.0.6 but preferable the newer Deer Park Alpha builds.,NL,NL
2,mozilla,I produced something along the lines of a test case for this at,NL,NL
3,mozilla,"attribute minimization. XML dictates selected=""""selected"""".",NL,NL
4,mozilla,User Agent: Mozilla/5.0 (Mobile; rv:33.0) Gecko/33.0 Firefox/33.0,Not,Not
5,mozilla,"<option value=""""manage_addProduct/KnowledgeKit/HOWTO_factory"""">HOW-TO</option>",Not,Not
6,mozilla,"Error: uncaught exception: [Exception... """"'[JavaScript Error: """"aTabs[ex - 1] is undefined"""" {file: """"file:///home/tim/workspace/mozilla-central/objdir-ff-release/dist/bin/components/nsSessionStore.js"""" line: 2459}]' when calling method: [nsISessionStore::undoCloseTab]""""  nsresult: """"0x80570021 (NS_ERROR_XPC_JAVASCRIPT_ERROR_WITH_DETAILS)""""  location: """"JS frame :: chrome://browser/content/browser.js :: undoCloseTab :: line 11989""""  data: yes]",Not,Not
7,mozilla,and there's no plug-in to handle it the value should fallback to some default,NL,NL
8,mozilla,bryner:,NL,NL
9,mozilla,from it out instead,NL,NL
10,mozilla,"topcrash+, zt4newcrash, dataloss.",Not,Not
11,mozilla,"I was trying to match the prototype of the existing HTMLCanvasElement::ExtractData method as closely as possible, but I can change this if you'd like. I'd have to change the callers a bit, but this wouldn't be a problem.",NL,NL
12,mozilla,"Plenty of free memory and swap, no processor problems.",NL,NL
13,mozilla,"display on top of each other"""".",NL,NL
14,mozilla,"Reporter, do you still see this problem with the latest Firefox 2? If not, can you please close this bug as WORKSFORME. Thanks!",NL,NL
15,mozilla,#2  0x4018a1be in PR_WaitCondVar (),Not,Not
16,mozilla,Most dictionary consumers expect that extra properties would be ignored as WebIDL currently spec'ed. The semantic of MediaStreamOptions contradicts their expectations.,NL,NL
17,mozilla,forgot to add mlk to kwords,NL,NL
18,mozilla,1) Verified in mfcEmbed.  nsIWebBrowserChrome::CreateBrowserWindow() is no,NL,NL
19,mozilla,"or invalid entity), it is very difficult to track down the problem",NL,NL
20,mozilla,"EAX(tm) 2.0 Listen/Src: No, No",Not,Not
21,mozilla,"(It has problems with high CPU usage on display of Speedread page, but that's for their developers to tackle)",NL,NL
22,mozilla,"Hi Patrick,",NL,NL
23,mozilla,Steps to reproduce:,NL,NL
24,mozilla,-----------------------------------------------------------------,Not,Not
25,mozilla,The style is correct and I'm not an X-head. Reassigned to pollmann.,NL,NL
26,mozilla,r+ if event name is changed and unit test for nfcmanager part,NL,NL
27,mozilla,"with this, allowing the user to select the unit to be prefixed can result in a",NL,NL
28,mozilla,nsTableOuterFrame::Reflow(),Not,Not
29,mozilla,at Server.EventEmitter.emit (events.js:92:17),Not,Not
30,mozilla,"Fwiw, I tested dbaron's patch with various themes on Linux and I couldn't",NL,NL
31,mozilla,09:47:58     INFO -      rax = 0x0000000000000000   rdx = 0x0000000000000000,Not,Not
32,mozilla,"^ we could do something stupid here, in which case we'll later violate xpcom",NL,NL
33,mozilla,"You'll need to update Thunderbird or file a bug and notify them of the change as well, of course.",NL,NL
34,mozilla,"Typing in wikipedia, placing the cursor in the main editing textbox causes typing to appear in the edit summary textbox, and vice=versa",NL,NL
35,mozilla,Safe Mode: false,Not,Not
36,mozilla,Is you point your nightly build (my case: 2000100308) to that page there is some,NL,NL
37,mozilla,Gecko Version          45.0a1,Not,Not
38,mozilla,"},",Not,Not
39,mozilla,"tree at the start of nsCSSFrameConstructor::ContentRemoved(), the child",NL,NL
40,mozilla,"Ulrich, if this isn't in your current code, I can probably make a tip build available for you more or less soonish. Let me know.",NL,NL
41,mozilla,https://hg.mozilla.org/integration/b2g-inbound/rev/cf4a85de7c0e,Not,Not
42,mozilla,"about, esp. if you are always talking about Compose window or the display of the",NL,NL
43,mozilla,"/cvsroot/mozilla/xpcom/base/Makefile.in,v  <--  Makefile.in",Not,Not
44,mozilla,"Now, high resolution scrolling was disabled by bug 657865 due to many regressions. This bug tracks the regressions which must be fixed before re-enabling it.",NL,NL
45,mozilla,45 	libobjc.A.dylib 	libobjc.A.dylib@0x70ae,Not,Not
46,mozilla,21:38:25     INFO -  4189 INFO TEST-PASS | dom/tests/mochitest/general/test_performance_timeline.html | The number of PerformanceMeasure entries should be 1.,Not,Not
47,mozilla,"On OS X (10.1.5+), tabbing in forms behaved exactly as expected - and as in IE -",NL,NL
48,mozilla,"- After this do-while loop, replace the """"return true"""" with:",NL,NL
49,mozilla,We already have a newer version in the tree,NL,NL
50,mozilla,No code change so marking WFM,NL,NL
51,mozilla,Either that or Chrome maybe had to find some long drawn out work-around...,NL,NL
52,mozilla,Actual:,NL,NL
53,mozilla,TODO for me:,NL,NL
54,mozilla,User-Agent:       Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0 StumbleUpon/1.999,Not,Not
55,mozilla,"Otherwise jsbugmon will report that this bug is unreproducible, as per comment 4 of this bug, assuming that the bug still exists and reproduces manually.",NL,NL
56,mozilla,1.Hide the window (apple-h),NL,NL
57,mozilla,2. use FireFox regularly,NL,NL
58,mozilla,2. kill the clock application,NL,NL
59,mozilla,*,Not,Not
60,mozilla,Also had X11Amp loaded.,NL,NL
61,mozilla,"This is already fixed on trunk somehow, at least with current steps to reproduce.",NL,NL
62,mozilla,"Hey, I'm interested in this bug if no one else is working on it.",NL,NL
63,mozilla,no splash appears .,NL,NL
64,mozilla,#14 0x2b0339e2 in nsAppShellService::Run (this=0x8101300),Not,Not
65,mozilla,Gaia: ae3a84acaab80a5b35d5542d63e68462273c8a1b,Not,Not
66,mozilla,2. Middle click in a Firefox browser area,NL,NL
67,mozilla,"@@ +112,4 @@",Not,Not
68,mozilla,+          lastCharArabic = IS_ARABIC_CHAR(ch);,Not,Not
69,mozilla,"nsBlockFrame::ReflowBlockFrame(nsBlockReflowState & {...}, nsLineBox *",Not,Not
70,mozilla,But in Internet Explorer:,NL,NL
71,mozilla,"2. Use a video sharing site, and go to full screen",NL,NL
72,mozilla,Steps to reproduce:,NL,NL
73,mozilla,Risk to taking this patch (and alternatives if risky): Low,NL,NL
74,mozilla,No void.,NL,NL
75,mozilla,"Julien, can you reproduce this problem in Mozilla's Firefox 41? Or does this problem only affect Cyberfox?",NL,NL
76,mozilla,---------------------------,Not,Not
77,mozilla,User Agent: Mozilla/5.0 (Mobile; rv:32.0) Gecko/32.0 Firefox/32.0,Not,Not
78,mozilla,AAC audio,Not,NL
79,mozilla,2. Hold yellow OFF key (located next to the SIM card slot) for 5 to 10 seconds until the device buzzes,NL,NL
80,mozilla,"and hold them out in front of you.  See, now it's fine.""""",NL,NL
81,mozilla,Thanks!!,NL,NL
82,mozilla,USER32! 77e1395f(),Not,Not
83,mozilla,the customize page supplied for a sidebar tab.,NL,NL
84,mozilla,"activity monitor running continuously.  If I reload, it may stop, or it may",NL,NL
85,mozilla,"Step 2 above should be """"Change options to set tabs on right side of screen.""""",NL,NL
86,mozilla,Done as requested.  Output of NS_FONT_DEBUG=C ./mozilla http://www.mozilla.org/,NL,NL
87,mozilla,*** This bug has been marked as a duplicate of 283478 ***,NL,NL
88,mozilla,"If we wait a second to tap the ok button, it works fine. It needs to tap quickly to reproduce this bug.",NL,NL
89,mozilla,Direction DominantDirection(gfxPoint aPoint) { ... },Not,Not
90,mozilla,[Steps] 1. Run all PTS test cases,NL,NL
91,mozilla,didn't mark it before (just looked over what I think are the new parts),NL,NL
92,mozilla,(This had the wrong bug number in the commit message.),NL,NL
93,mozilla,54d57bd38f51	Matthew Noorenberghe � Bug 1007979 - Refactor nsSearchSuggestions into a reusable JSM. r=adw Original JSM by mconnor.,NL,NL
94,mozilla,[New LWP 2],Not,Not
95,mozilla,This is not pleasing for her.,NL,NL
96,mozilla,"2042   // Now, be sure to keep |this| alive, and the dialog",NL,NL
97,mozilla,"@@ +191,5 @@",Not,Not
98,mozilla,"I'm here, but I'm afraid I don't have much to report. May be it doesn't happen with the new UI? I've seen the """"couple of minutes before painting even the initial Chrome"""" problem a couple of times after that, but there's no consistent way to reproduce that. It just happens randomly, and when I try to do that again, it doesn't. I'm not sure what can be done here to this bug. These days when it becomes slow I just go and delete those Local cache folders.",NL,NL
99,mozilla,"/build_stage/communications/dialer/index.html: L10nError: Duplicate string """"edit"""" found in app://communications.gaiamobile.org",Not,Not
100,mozilla,"Your right, the plain html page is rendered correctly.",NL,NL
101,mozilla,Tools | Message Filters,Not,Not
102,mozilla,return JS_FALSE;,Not,Not
103,mozilla,Reproducible: Always,NL,NL
104,mozilla,"3.1. The notification panel should probably explicitly specify that the label (class: """"popup-notification-description"""") is the description for the panel (using aria-describedby?). This isn't essential, as screen readers generally use algorithms to work this out, but it's more correct.",NL,NL
105,mozilla,A try run with the mochitest,NL,NL
106,mozilla,"This is the thumbnail optimization I told you about. Previously my metadata code was creating a thumbnail for every song, even when a bunch of songs were part of the same album and shared the same thumbnail.",NL,NL
107,mozilla,hfdxhfdhdfh,Not,Not
108,mozilla,User-Agent:       Mozilla/5.0 (X11; Linux x86_64; rv:2.0b6pre) Gecko/20100913 Firefox-4.0/4.0b6pre Ubuntu/10.04,Not,Not
109,mozilla,Checking in base/content/browser.js;,NL,NL
110,mozilla,Koala,NL,NL
111,mozilla,"Or is it only about a small notification, kind of a footnote?",NL,NL
112,mozilla,Review of attachment 582733:,NL,NL
113,mozilla,23:06:06     INFO -  gBrowserInit.onLoad@chrome://browser/content/browser.js:990:5,Not,Not
