id,source,text,rater1,rater2
1,kubernetes,https://kubernetes.io/docs/concepts/services-networking/service/,Not,Not
2,kubernetes,kubectl get pods --all-namespaces -a,Not,Not
3,kubernetes,does kubectl delete pod busybox work?,NL,NL
4,kubernetes,busybox 0/1 Error 0 9m,Not,Not
5,kubernetes,inside as a service?,NL,NL
6,kubernetes,nice! thank you for the link!,NL,NL
7,kubernetes,@kdockery thanks!,NL,NL
8,kubernetes,"So, when I exec the px aux again, a new instance of my script is running over other PID and it looks working fine(The behavior is ok)",NL,NL
9,kubernetes,adapt the script,NL,NL
10,kubernetes,The answers is depends which overlay you're using,NL,NL
11,kubernetes,Check out kubectl drain,NL,NL
12,kubernetes,shoulod I not be able to use a existing public ip in azure when creatin a traefik ingress ?,NL,NL
13,kubernetes,Do you have a guide? Upgrade kubernetes 1.5 to 1.6,NL,NL
14,kubernetes,# kubectl get nodes | wc -l,Not,Not
15,kubernetes,@U7FCJNU58 Are you certain you are targeting the right port? (5000),NL,NL
16,kubernetes,okay strangely that worked,NL,NL
17,kubernetes,An ingress is a resource used by kubernetes to indicate a configuration for inbound traffic. An ingress controller is a thing that runs inside of kubernetes and directs traffic based on the ingress resources that have been created.,NL,NL
18,kubernetes,Max replicas: 15,Not,Not
19,kubernetes,"Right, this exist, but when i put traefik-web-ui.kube-system in browser show DNS_PROBE_FINISHED_NXDOMAIN",NL,NL
20,kubernetes,"Client Version: version.Info{Major:1, Minor:8, GitVersion:v1.8.1, GitCommit:f38e43b221d08850172a9a4ea785a86a3ffa3b3a, GitTreeState:clean, BuildDate:2017-10-11T23:27:35Z, GoVersion:go1.8.3, Compiler:gc, Platform:linux/amd64} Error from server (Forbidden): unknown",Not,Not
21,kubernetes,"Any chance I can sneak a look at itI was tryna think about that earlier, but I'm not sure where to begin.",NL,NL
22,kubernetes,Kubernetes,NL,NL
23,kubernetes,8h 12m 3 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 4,Not,NL
24,kubernetes,name: my-app,Not,Not
25,kubernetes,"with service is impossible ? because when I use node ip, load balance not work, for example",NL,NL
26,kubernetes,what is -l for?,NL,NL
27,kubernetes,"Hi. I have pods with multiple containers (app, http proxy, sql proxy). When pod is terminated (for rolling update for example), the http proxy gracefully stops. But after it stops the other containers not always are able to do it and just stuck around for whole grace period (30s). Is it possible to force kill other containers when one of the containers stops?",NL,NL
28,kubernetes,so it must use encapsulation then?,NL,NL
29,kubernetes,"since the file is being mounted into the container, how should i wait until everything is settle, then run the command?",NL,NL
30,kubernetes,not so hard though,NL,NL
31,kubernetes,@U7MP7D5EV Can you provide the full output of the describe command?,NL,NL
32,kubernetes,it's set to 1.1,NL,NL
33,kubernetes,"hm, manual provisioning is probably a cause of problem... I'll take a closer look, @lukas.dolezal thanks",NL,NL
34,kubernetes,"Ok, another issue now. The service that I have in my yaml file got created while the deployment was failing. Now when I try to create the whole thing again, kubectl tells me Error from server (AlreadyExists): error when creating kube-test-image.yaml: services foo-test already exists",NL,NL
35,kubernetes,ok you are exposing nginx to port 80 in the worker node IP address,NL,NL
36,kubernetes,ingress.kubernetes.io/ssl-passthrough: true,Not,Not
37,kubernetes,I have the following deployment:,NL,NL
38,kubernetes,as flag in,NL,NL
39,kubernetes,ha,NL,NL
40,kubernetes,"Its ok, thank you for consideration, glad i could help",NL,NL
41,kubernetes,namespace: default,Not,NL
42,kubernetes,namespace: app,Not,Not
43,kubernetes,"At that point, you'd have to use the external IP/hostname for the desired cluster/service.",NL,NL
44,kubernetes,"ImageGCFailed (combined from similar events): wanted to free 17473497497 bytes, but freed 0 bytes space with errors in image deletion: [rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 1d78bc06c4ab (must be forced) - image is being used by stopped container d1ff473beb37, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete a65a923e4aef (must be forced) - image is being used by stopped container 89e9555087f7, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 3e88bee4496f (must be forced) - image is being used by stopped container df64f142b1bd, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 7daecc4456f7 (must be forced) - image is being used by stopped container c4d65d28d952, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 2d696327ab2e (cannot be forced) - image has dependent child images]",Not,NL
45,kubernetes,"@roffe, insecure-skip-tls-verify: true , it is just when you use TLS+token, isn't it?",NL,NL
46,kubernetes,sorry,NL,NL
47,kubernetes,you've created a definition for where the traffic should go but nothing is being done with that traffic,NL,NL
48,kubernetes,"Hello guys, Im reading this https://kubernetes.io/docs/getting-started-guides/centos/centos_manual_config/ , is that repo still valid to fetch the latest kubenetes release 1.8?",NL,NL
49,kubernetes,You can just put both hosts in,NL,NL
50,kubernetes,In your kube config file try to base64 decode certificate-authoririty,NL,NL
51,kubernetes,What's up guys. You know how when you do kubectl get pods you get something that looks like:,NL,NL
52,kubernetes,progress indeed. I get deployement/service configured now. But I still don't see anything with kubectl get all,NL,NL
